radio_cens,Casa Tipo A,Casa Tipo B,Casilla,Departamento,Local no construido para habitación,Pieza en hotel familiar o pensión,Pieza en inquilinato,Rancho,Total,Vivienda móvil
820210329,7,10,0,0,0,0,0,0,17,0
820210330,1,8,0,0,0,0,0,0,9,0
820210331,6,9,0,0,0,0,0,0,15,0
820210332,0,11,0,0,0,0,0,0,11,0
820210333,22,15,0,0,0,0,0,0,37,0
820210401,7,56,0,3,0,0,3,0,69,0
820210402,13,24,0,0,0,0,0,0,37,0
820210403,0,4,0,0,0,0,0,0,4,0
820210404,10,30,0,0,0,0,7,0,47,0
820210405,0,12,0,0,1,0,0,0,13,0
820210406,0,11,2,1,1,1,0,0,16,0
820210407,5,4,2,1,0,0,0,0,12,0
820210408,13,12,0,1,0,0,0,0,26,0
820210409,11,3,0,0,0,0,0,0,14,0
820210410,7,0,0,1,0,0,0,0,8,0
820210411,4,1,0,0,1,0,0,0,6,0
820210412,0,0,0,0,0,0,0,0,0,0
820210413,0,2,0,0,0,0,0,0,2,0
820210414,4,1,0,1,0,0,2,0,8,0
820210415,5,15,0,1,0,0,2,0,23,0
820210416,22,82,1,0,0,0,0,0,105,0
820210417,9,93,1,0,0,0,2,0,105,0
820210418,19,64,0,2,0,0,0,1,86,0
820210419,8,103,0,3,0,0,0,1,115,0
820210420,10,26,0,0,0,0,0,1,37,0
820210421,8,8,0,0,0,0,0,0,16,0
820210422,46,60,13,0,0,0,0,7,126,0
820210501,25,53,0,0,0,0,0,1,79,0
820210502,18,112,0,4,0,0,4,4,142,0
820210503,15,48,4,0,0,0,3,1,71,0
820210504,9,20,0,0,0,0,4,1,34,0
820210505,16,55,3,7,1,0,1,3,86,0
820210506,7,27,0,0,0,0,1,0,35,0
820210507,8,1,0,0,0,0,0,0,9,0
820210508,10,1,0,2,0,0,0,0,13,0
820210509,0,0,0,0,0,1,0,0,1,0
820210510,2,1,0,0,0,0,0,0,3,0
820210511,1,0,0,1,0,3,6,0,11,0
820210512,36,69,0,1,1,0,0,0,107,0
820210513,23,49,1,6,1,0,4,0,84,0
820210514,9,50,7,1,0,0,2,13,82,0
820210601,10,5,0,0,0,0,0,0,15,0
820210602,2,2,0,0,0,0,0,0,4,0
820210603,0,0,0,0,0,0,0,0,0,0
820210604,4,1,0,0,0,0,0,0,5,0
820210605,4,2,0,1,0,0,0,0,7,0
820210606,4,2,0,0,0,0,1,0,7,0
820210607,3,3,0,4,0,4,0,0,14,0
820210608,1,17,2,3,0,0,0,0,23,0
820210609,3,1,0,0,0,2,0,0,6,0
820210610,12,28,0,0,0,0,0,0,40,0
820210611,7,7,0,0,0,0,0,0,14,0
820210612,22,23,0,0,0,0,1,0,46,0
820210613,1,10,0,1,0,0,0,0,12,0
820210614,4,10,0,0,0,0,0,1,15,0
820210615,1,5,0,0,0,0,0,0,6,0
820210616,6,8,0,0,0,0,0,0,14,0
820210617,4,1,0,0,0,0,0,0,5,0
820210618,3,33,1,1,0,0,0,0,38,0
820210619,11,21,0,2,0,0,0,1,35,0
820210620,13,0,0,0,0,0,0,0,13,0
820210701,3,28,0,0,0,0,0,0,31,0
820210702,36,206,3,0,0,0,0,0,245,0
820210703,0,8,0,0,0,0,0,0,8,0
820210704,6,13,0,0,0,0,0,0,19,0
820210705,4,5,0,0,0,0,0,0,9,0
820210706,5,40,1,0,0,0,0,2,48,0
820210707,5,33,0,0,0,0,0,1,39,0
820210708,0,0,0,0,0,0,0,0,0,0
820210709,4,7,0,0,0,0,0,0,11,0
820210710,3,30,0,0,0,0,0,0,33,0
820210711,4,6,0,0,0,0,0,0,10,0
820210712,5,10,0,0,0,0,0,0,15,0
820210713,3,34,0,0,2,0,0,1,40,0
820210714,6,15,0,0,0,0,0,0,21,0
820210715,4,16,0,0,0,0,0,1,21,0
820210716,10,15,0,0,0,0,0,0,25,0
820210717,12,52,0,5,0,4,0,0,73,0
820210718,14,56,0,0,0,0,0,1,71,0
820210719,4,30,1,0,0,0,0,2,37,0
820210720,10,25,0,1,0,0,0,0,36,0
820210721,4,51,0,0,0,0,0,1,56,0
820210722,12,138,7,1,0,0,1,1,160,0
820210723,0,0,0,0,0,0,0,0,0,0
820210724,6,25,0,0,0,0,0,2,33,0
820210725,10,42,0,0,0,0,0,2,54,0
820210726,8,47,0,4,0,0,0,3,62,0
820210801,0,0,0,1,0,0,0,0,1,0
820210802,2,1,0,0,0,9,5,0,17,0
820210803,0,1,0,0,0,0,2,0,3,0
820210804,4,4,0,0,0,0,0,0,8,0
820210805,5,1,0,0,0,5,0,0,11,0
820210806,1,3,0,0,0,0,0,0,4,0
820210807,9,18,0,2,0,0,0,0,29,0
820210808,1,8,0,0,0,0,0,0,9,0
820210809,9,15,0,0,0,0,0,0,24,0
820210810,11,17,0,0,0,0,0,7,35,0
820210811,7,7,0,0,0,0,0,0,14,0
820210812,0,1,0,0,0,0,0,0,1,0
820210813,18,47,1,0,0,0,1,2,69,0
820210814,5,25,1,2,0,0,0,1,34,0
820210815,19,55,3,0,0,1,0,1,79,0
820210901,0,3,0,0,0,0,0,0,3,0
