radio_cens,Casa Tipo A,Casa Tipo B,Casilla,Departamento,Local no construido para habitación,Pieza en hotel familiar o pensión,Pieza en inquilinato,Rancho,Total,Vivienda móvil
820210120,2,27,1,0,5,0,0,0,35,0
820210121,7,22,1,0,0,0,0,0,30,0
820210122,1,31,0,0,0,0,0,0,32,0
820210123,1,17,0,0,0,0,0,0,18,0
820210124,6,57,0,0,2,0,4,1,70,0
820210125,0,13,6,0,0,0,0,1,20,0
820210126,3,16,0,0,0,0,0,0,19,0
820210127,0,4,0,0,0,0,0,0,4,0
820210128,6,20,0,0,0,0,0,0,26,0
820210129,6,11,0,0,0,0,0,0,17,0
820210130,3,22,0,0,0,0,1,0,26,0
820210131,1,15,0,0,1,0,0,0,18,1
820210132,1,22,0,0,1,0,0,3,27,0
820210133,16,65,1,0,0,0,0,0,82,0
820210134,4,94,6,0,2,0,0,1,107,0
820210201,0,36,0,0,0,0,0,0,36,0
820210202,1,7,0,0,0,0,0,0,8,0
820210203,4,9,0,0,0,0,0,0,13,0
820210204,1,9,0,0,0,0,0,0,10,0
820210205,0,105,5,0,1,0,4,1,116,0
820210206,1,12,0,0,0,0,0,0,13,0
820210207,1,36,0,0,0,0,2,1,40,0
820210208,1,1,0,0,0,0,0,0,2,0
820210209,3,24,0,0,0,0,0,0,27,0
820210210,1,25,1,2,0,0,1,0,30,0
820210211,1,20,1,0,0,0,0,0,22,0
820210212,5,83,0,0,0,0,0,1,89,0
820210213,1,6,0,0,0,0,0,0,7,0
820210214,0,33,0,0,0,0,5,0,38,0
820210215,1,56,0,0,0,0,0,0,57,0
820210216,2,17,0,0,0,0,0,0,19,0
820210217,1,33,0,0,0,0,0,0,34,0
820210218,7,62,0,0,0,0,0,0,69,0
820210301,1,7,0,0,0,0,0,0,8,0
820210302,29,58,0,0,1,0,0,2,90,0
820210303,7,33,0,0,0,0,0,0,40,0
820210304,2,28,0,0,1,0,0,0,31,0
820210305,4,61,0,0,2,0,0,1,68,0
820210306,1,28,0,0,0,0,0,0,29,0
820210307,0,16,0,0,0,0,0,0,16,0
820210308,0,16,0,0,0,0,0,0,16,0
820210309,1,3,0,0,0,0,0,0,4,0
820210310,4,40,0,0,0,0,0,0,44,0
820210311,1,35,0,4,0,0,0,0,40,0
820210312,0,12,0,0,0,0,0,0,12,0
820210313,1,38,0,0,0,0,0,0,39,0
820210314,2,15,1,0,0,0,0,0,18,0
820210315,1,7,0,0,1,0,0,0,9,0
820210316,0,19,0,0,0,0,0,0,19,0
820210317,7,31,0,0,0,0,0,1,39,0
820210318,15,60,0,0,0,0,0,1,76,0
820210319,1,10,0,0,0,0,0,0,11,0
820210320,3,9,0,0,0,0,0,0,13,1
820210321,2,25,0,0,0,0,0,0,27,0
820210322,12,14,0,0,0,0,1,2,29,0
820210323,10,13,0,0,0,0,0,0,23,0
820210324,2,15,0,0,0,0,0,0,17,0
820210325,0,8,1,0,0,0,0,0,9,0
820210326,3,13,1,0,0,0,0,0,17,0
820210327,8,26,2,0,0,0,1,1,38,0
820210328,1,13,0,0,0,0,0,1,15,0
820210329,3,12,0,0,0,0,0,0,15,0
820210330,0,11,0,0,0,0,0,0,11,0
820210331,5,11,0,0,0,0,0,0,16,0
820210332,0,10,0,0,0,0,0,0,10,0
820210333,13,16,0,0,0,0,0,0,29,0
820210401,1,58,0,3,0,0,3,0,65,0
820210402,1,24,0,0,0,0,0,0,25,0
820210403,0,4,0,0,0,0,0,0,4,0
820210404,0,31,0,0,0,0,7,0,38,0
820210405,0,13,0,0,1,0,0,0,14,0
820210406,0,12,2,0,1,1,0,0,16,0
820210407,0,4,2,0,0,0,0,0,6,0
820210408,1,12,0,2,0,0,0,0,15,0
820210409,0,3,0,0,0,0,0,0,3,0
820210410,0,0,0,0,0,0,0,0,0,0
820210411,0,1,0,0,1,0,0,0,2,0
820210412,0,0,0,0,0,0,0,0,0,0
820210413,0,2,0,0,0,0,0,0,2,0
820210414,0,1,0,0,0,0,2,0,3,0
820210415,0,15,0,0,0,0,1,0,16,0
820210416,4,86,1,0,0,0,0,0,91,0
820210417,1,94,2,0,0,0,0,0,97,0
820210418,0,71,0,1,0,0,0,1,73,0
820210419,0,105,0,2,0,0,0,1,108,0
820210420,0,26,0,0,0,0,0,1,27,0
820210421,0,10,0,0,0,0,0,0,10,0
820210422,0,82,13,0,0,0,0,3,98,0
820210501,0,64,0,0,0,0,0,2,66,0
820210502,0,113,0,4,0,0,5,6,128,0
820210503,0,43,4,0,0,0,2,1,50,0
820210504,0,23,0,0,0,0,4,1,28,0
820210505,0,62,3,9,1,0,1,2,78,0
820210506,0,27,0,0,0,0,1,0,28,0
820210507,0,2,0,0,0,0,0,0,2,0
820210508,2,1,0,2,0,0,0,0,5,0
820210509,0,0,0,0,0,0,0,0,0,0
820210510,0,1,0,0,0,0,0,0,1,0
820210511,0,0,0,1,0,0,5,0,6,0
820210512,0,68,0,1,1,0,0,0,70,0
820210513,0,64,1,3,1,0,8,0,77,0
820210514,0,49,7,2,0,0,2,14,74,0
820210601,3,8,0,0,0,0,0,0,11,0
820210602,0,2,0,0,0,0,0,0,2,0
820210603,0,0,0,0,0,0,0,0,0,0
820210604,0,2,0,0,0,0,0,0,2,0
820210605,0,2,0,0,0,0,0,0,2,0
820210606,0,2,0,0,0,0,1,0,3,0
820210607,1,3,0,3,0,4,0,0,11,0
820210608,0,16,2,3,0,0,0,0,21,0
820210609,0,1,0,0,0,0,0,0,1,0
820210610,10,30,1,0,0,0,0,0,41,0
820210611,0,9,0,0,0,0,0,0,9,0
820210612,2,25,0,0,0,0,1,0,28,0
820210613,0,9,0,1,0,0,0,0,10,0
820210614,0,10,0,0,0,0,0,1,11,0
820210615,1,5,0,0,0,0,0,0,6,0
820210616,0,10,0,0,0,0,0,0,10,0
820210617,0,2,0,0,0,0,0,0,2,0
820210618,0,33,1,1,0,0,0,0,35,0
820210619,0,25,0,0,0,0,0,0,25,0
820210620,0,0,0,0,0,0,0,0,0,0
820210701,2,28,0,0,0,0,0,0,30,0
820210702,25,211,3,0,0,0,0,1,240,0
820210703,0,8,0,0,0,0,0,0,8,0
820210704,4,13,0,0,0,0,0,0,17,0
820210705,3,5,0,0,0,0,0,0,8,0
820210706,2,48,1,0,0,0,0,2,53,0
820210707,2,37,0,0,0,0,0,1,40,0
820210708,0,1,0,0,0,0,0,0,1,0
820210709,1,8,0,0,0,0,0,0,9,0
820210710,2,30,0,0,0,0,0,0,32,0
820210711,3,6,0,0,0,0,0,0,9,0
820210712,2,12,0,0,0,0,0,0,14,0
820210713,0,31,0,0,3,0,0,1,35,0
820210714,5,16,0,0,0,0,0,0,21,0
820210715,3,17,0,0,0,0,0,1,22,1
820210716,10,19,0,0,0,0,0,0,29,0
820210717,0,53,0,4,0,4,0,0,61,0
820210718,0,60,1,0,0,0,0,1,62,0
820210719,0,30,1,0,0,0,0,2,33,0
820210720,0,28,0,1,0,0,0,0,29,0
820210721,0,45,0,0,0,0,0,1,46,0
820210722,5,143,7,1,0,0,1,3,160,0
820210723,0,0,0,0,0,0,0,0,0,0
820210724,0,23,0,0,0,0,0,2,25,0
820210725,0,41,0,0,0,0,0,2,43,0
820210726,0,43,0,4,0,0,0,6,53,0
820210801,0,0,0,0,0,0,0,0,0,0
820210802,0,1,0,0,0,0,0,0,1,0
820210803,0,1,0,0,0,0,0,0,1,0
820210804,0,4,0,0,0,0,0,0,4,0
820210805,0,1,1,0,0,0,0,0,2,0
820210806,0,3,0,0,0,0,0,0,3,0
820210807,0,22,0,1,0,0,0,0,23,0
820210808,1,9,0,0,0,0,0,0,10,0
820210809,0,15,0,0,0,0,0,0,15,0
820210810,0,20,0,0,0,0,0,8,28,0
820210811,1,7,0,0,0,0,0,0,8,0
820210812,0,1,0,0,0,0,0,0,1,0
820210813,0,51,2,0,0,0,1,3,57,0
820210814,0,27,1,2,1,0,0,1,32,0
820210815,0,59,3,0,0,1,0,2,65,0
820210901,0,3,0,0,0,0,0,0,3,0
820210902,0,7,2,0,1,0,0,0,10,0
820210903,0,29,2,1,0,0,0,1,33,0
820210904,0,17,0,0,0,0,0,0,17,0
820210905,1,10,0,0,0,0,0,0,11,0
820210906,0,3,0,0,0,0,0,0,3,0
820210907,0,6,0,0,0,0,0,0,6,0
820210908,0,0,0,0,0,0,0,0,0,0
820210909,1,0,0,0,0,0,4,0,5,0
820210910,0,1,3,0,0,0,0,0,4,0
820210911,0,17,0,0,0,0,5,0,22,0
