radio_cens,Casa Tipo A,Casa Tipo B,Casilla,Departamento,Local no construido para habitación,NSA :,Pieza en hotel familiar o pensión,Pieza en inquilinato,Rancho,Total,Vivienda móvil
820210125,4,14,6,0,0,0,0,0,1,25,0
820210126,36,19,0,0,0,0,0,0,0,55,0
820210127,35,5,1,0,0,0,0,0,0,41,0
820210128,81,23,0,0,0,0,0,0,0,104,0
820210129,28,11,0,0,0,0,0,0,0,39,0
820210130,36,23,0,0,0,0,0,1,0,60,0
820210131,37,18,0,0,1,0,0,0,0,57,1
820210132,55,25,0,0,1,0,0,0,3,84,0
820210133,287,70,1,0,1,1,1,0,0,360,0
820210134,233,99,6,4,2,1,0,0,4,348,0
820210201,369,41,0,15,0,2,0,0,0,425,0
820210202,369,9,0,4,0,0,0,0,0,382,0
820210203,364,10,0,12,1,2,0,2,0,389,0
820210204,405,9,0,18,0,1,0,0,0,432,0
820210205,327,114,7,1,1,1,0,5,1,456,0
820210206,307,12,0,0,0,1,0,0,0,319,0
820210207,336,44,1,10,0,0,0,7,1,399,0
820210208,348,1,0,17,0,0,0,2,0,368,0
820210209,390,30,0,2,0,3,0,0,0,422,0
820210210,317,25,1,19,0,1,0,2,0,364,0
820210211,273,27,1,6,0,0,0,1,1,309,0
820210212,321,96,1,8,0,2,0,0,2,428,0
820210213,196,6,0,3,0,1,0,1,0,206,0
820210214,274,56,0,6,0,0,0,7,0,343,0
820210215,532,63,0,5,0,0,0,0,0,600,0
820210216,306,20,0,8,0,0,0,0,0,334,0
820210217,425,42,0,0,0,0,0,0,0,467,0
820210218,303,76,0,0,0,0,0,0,0,379,0
820210301,13,7,0,0,0,0,0,0,0,20,0
820210302,476,61,0,4,1,0,0,0,3,545,0
820210303,32,35,0,0,0,0,0,0,0,67,0
820210304,73,29,0,0,1,0,0,0,0,103,0
820210305,375,64,0,0,4,2,0,0,1,444,0
820210306,41,28,0,0,0,1,0,0,0,69,0
820210307,48,16,0,0,0,0,0,0,0,64,0
820210308,73,18,0,0,0,0,0,0,0,91,0
820210309,7,3,0,0,0,0,0,0,0,10,0
820210310,91,46,0,0,0,0,0,0,0,137,0
820210311,150,47,0,4,0,0,0,1,0,202,0
820210312,27,13,0,0,0,0,0,0,0,40,0
820210313,300,40,0,0,0,0,0,0,1,341,0
820210314,81,16,1,0,0,1,0,0,0,98,0
820210315,57,7,0,0,1,1,0,0,0,65,0
820210316,12,19,0,0,0,0,0,0,0,31,0
820210317,336,35,0,0,1,1,0,0,1,373,0
820210318,294,71,0,0,0,2,0,0,1,366,0
820210319,51,15,0,2,0,0,0,0,0,68,0
820210320,96,10,0,0,0,0,0,0,0,107,1
820210321,399,26,0,0,2,0,0,0,0,427,0
820210322,79,16,0,0,0,0,0,1,2,98,0
820210323,21,16,0,0,0,0,0,0,0,37,0
820210324,16,15,0,0,0,0,0,0,0,31,0
820210325,20,8,1,0,0,0,0,0,0,29,0
820210326,21,13,1,0,0,0,0,0,0,35,0
820210327,151,28,2,0,0,0,0,2,1,184,0
820210328,32,14,0,0,0,0,0,0,1,47,0
820210329,35,14,0,0,0,0,0,0,0,49,0
820210330,30,13,0,0,0,0,0,0,0,43,0
820210331,36,11,0,0,0,0,0,0,0,47,0
820210332,78,11,0,0,0,0,0,0,0,89,0
820210333,127,17,0,0,0,0,0,0,0,144,0
820210401,423,72,0,12,0,1,0,3,0,510,0
820210402,260,31,1,4,0,0,0,2,0,298,0
820210403,205,5,0,5,1,0,0,0,0,216,0
820210404,291,36,0,10,0,0,0,9,0,346,0
820210405,208,19,0,3,1,0,0,0,0,231,0
820210406,386,17,7,12,3,0,1,0,0,426,0
820210407,126,4,2,15,0,1,0,0,0,147,0
820210408,307,13,0,41,1,0,0,0,0,362,0
820210409,330,3,0,16,0,0,0,0,0,349,0
820210410,135,0,0,25,0,0,0,0,0,160,0
