radio_cens,Casa Tipo A,Casa Tipo B,Casilla,Departamento,Local no construido para habitación,Pieza en hotel familiar o pensión,Pieza en inquilinato,Rancho,Total,Vivienda móvil
820210316,0,3,0,0,0,0,0,0,3,0
820210317,1,3,0,0,0,0,0,1,5,0
820210318,4,14,0,0,0,0,0,0,18,0
820210319,0,3,0,0,0,0,0,0,3,0
820210320,0,5,0,0,0,0,0,0,6,1
820210321,10,5,0,0,0,0,0,0,15,0
820210322,2,2,0,0,0,0,1,1,6,0
820210323,1,0,0,0,0,0,0,0,1,0
820210324,1,6,0,0,0,0,0,0,7,0
820210325,0,1,1,0,0,0,0,0,2,0
820210326,0,1,0,0,0,0,0,0,1,0
820210327,9,0,0,0,0,0,1,0,10,0
820210328,4,3,0,0,0,0,0,0,7,0
820210329,4,0,0,0,0,0,0,0,4,0
820210330,1,2,0,0,0,0,0,0,3,0
820210331,1,3,0,0,0,0,0,0,4,0
820210332,0,1,0,0,0,0,0,0,1,0
820210333,9,3,0,0,0,0,0,0,12,0
820210401,6,9,0,0,0,0,0,0,15,0
820210402,12,5,0,0,0,0,0,0,17,0
820210403,0,0,0,0,0,0,0,0,0,0
820210404,10,0,0,0,0,0,5,0,15,0
820210405,0,0,0,0,0,0,0,0,0,0
820210406,0,4,0,1,0,0,0,0,5,0
820210407,5,1,2,1,0,0,0,0,9,0
820210408,12,0,0,0,0,0,0,0,12,0
820210409,11,0,0,0,0,0,0,0,11,0
820210410,7,0,0,1,0,0,0,0,8,0
820210411,4,0,0,0,0,0,0,0,4,0
820210412,0,0,0,0,0,0,0,0,0,0
820210413,0,0,0,0,0,0,0,0,0,0
820210414,4,0,0,1,0,0,1,0,6,0
820210415,5,1,0,1,0,0,2,0,9,0
820210416,18,11,0,0,0,0,0,0,29,0
820210417,8,13,0,0,0,0,2,0,23,0
820210418,19,7,0,1,0,0,0,1,28,0
820210419,8,49,0,3,0,0,0,1,61,0
820210420,10,11,0,0,0,0,0,0,21,0
820210421,8,0,0,0,0,0,0,0,8,0
820210422,46,17,9,0,0,0,0,5,77,0
820210501,25,18,0,0,0,0,0,1,44,0
820210502,18,51,0,1,0,0,2,1,73,0
820210503,15,24,2,0,0,0,1,0,42,0
820210504,9,7,0,0,0,0,2,0,18,0
820210505,16,22,2,2,0,0,1,1,44,0
820210506,7,15,0,0,0,0,1,0,23,0
820210507,8,0,0,0,0,0,0,0,8,0
820210508,8,0,0,0,0,0,0,0,8,0
820210509,0,0,0,0,0,1,0,0,1,0
820210510,2,0,0,0,0,0,0,0,2,0
820210511,1,0,0,0,0,3,1,0,5,0
820210512,36,24,0,0,0,0,0,0,60,0
820210513,23,17,0,5,0,0,3,0,48,0
820210514,9,16,2,0,0,0,0,3,30,0
820210601,7,0,0,0,0,0,0,0,7,0
820210602,2,0,0,0,0,0,0,0,2,0
