radio_cens,Casa Tipo B,Casilla,Departamento,Local no construido para habitación,Pieza en hotel familiar o pensión,Pieza en inquilinato,Rancho,Total,Vivienda móvil
820420109,0,0,0,0,0,0,0,0,0
820420110,0,0,0,0,0,0,1,2,1
820420111,2,0,0,0,0,0,0,2,0
820420112,0,0,0,0,0,0,0,0,0
820420113,1,0,0,0,0,0,0,1,0
820420115,2,0,0,0,0,0,0,2,0
820420116,0,0,0,0,0,0,0,0,0
820420117,2,0,0,0,0,0,0,3,1
820420118,0,0,0,0,0,0,1,1,0
820420119,1,0,0,0,0,0,1,4,2
820420120,1,1,0,0,0,0,1,3,0
820420121,8,0,0,0,0,0,1,9,0
820420122,2,0,0,0,0,0,1,3,0
820420123,5,0,0,0,0,0,0,5,0
820420124,0,1,0,0,0,0,0,3,2
820420201,1,0,0,0,0,0,2,3,0
820420202,1,0,0,0,0,0,0,1,0
820420203,3,0,0,0,0,0,0,3,0
820420204,1,1,0,0,0,0,0,8,6
820420205,1,0,0,0,0,0,1,2,0
820420206,20,3,0,0,0,0,3,26,0
820420207,0,0,0,0,0,0,0,0,0
820420208,19,0,0,0,0,0,0,19,0
820420209,0,0,0,0,0,0,0,0,0
820420210,10,0,0,0,0,0,1,11,0
820420211,0,0,0,0,0,0,0,1,1
820420212,6,0,0,0,0,0,0,6,0
820420213,2,0,0,0,0,0,0,2,0
820420214,6,0,0,0,0,0,0,6,0
820420215,3,0,0,0,0,1,0,4,0
820420216,0,0,0,0,0,0,0,0,0
820420217,1,0,0,0,0,0,0,1,0
820420218,0,0,0,0,0,0,0,0,0
820420219,3,0,0,0,0,1,0,4,0
820420220,0,0,0,0,0,0,0,0,0
820420221,0,0,0,0,1,0,0,1,0
820420222,3,0,0,0,0,0,2,5,0
820420301,0,0,0,0,0,0,0,1,1
820420302,3,3,0,0,0,0,0,7,1
820420303,0,0,0,0,0,0,0,0,0
820420304,0,0,0,0,0,0,0,0,0
820420305,31,0,0,0,0,0,0,31,0
820420306,4,0,0,0,0,0,1,5,0
820420307,0,0,0,0,0,0,0,0,0
820420308,12,2,0,0,0,0,1,15,0
820420309,3,0,0,0,0,0,1,4,0
820420310,1,0,0,0,0,0,0,1,0
820420311,4,2,0,0,0,0,0,6,0
820420312,12,0,0,0,0,1,0,13,0
820420313,27,1,0,0,0,0,0,28,0
820420314,2,1,0,1,0,1,0,5,0
820420315,3,0,0,1,0,0,2,6,0
820420316,5,0,0,0,0,0,0,5,0
820420317,0,0,0,0,0,0,0,0,0
820420318,24,0,0,0,0,0,1,25,0
820420319,0,1,0,0,0,0,1,2,0
820420320,1,0,0,0,0,0,0,1,0
820420321,0,0,0,0,0,0,0,0,0
820420322,0,0,0,0,0,0,0,0,0
820420323,6,0,0,0,0,0,3,9,0
820420324,1,0,0,0,0,0,0,1,0
820420401,1,0,0,0,0,0,0,1,0
820420402,24,2,0,0,0,0,3,29,0
820420403,8,0,0,0,0,0,1,9,0
820420404,8,0,0,0,0,0,0,8,0
820420405,0,0,0,0,0,0,0,0,0
820420406,0,0,0,0,0,0,0,0,0
820420407,0,0,0,0,0,0,0,0,0
820420408,2,0,0,0,0,0,0,2,0
820420409,1,0,0,0,0,0,0,1,0
820420410,0,0,0,0,0,0,0,0,0
820420411,0,0,0,0,0,0,0,0,0
820420412,0,0,0,0,0,0,0,0,0
820420413,12,1,0,0,0,0,2,15,0
820420414,2,0,0,0,0,0,0,2,0
820420415,13,1,0,0,0,0,0,14,0
820420416,2,0,0,0,0,0,0,2,0
820420417,0,0,0,0,0,0,0,0,0
820420418,0,0,0,0,0,0,0,0,0
820420419,0,0,0,0,0,0,0,0,0
820420420,0,0,0,0,0,0,0,0,0
820420421,0,0,0,0,0,0,0,0,0
820420501,2,0,0,0,0,0,0,2,0
820420502,1,0,0,0,0,1,0,3,1
820420503,5,0,0,0,0,0,0,5,0
820420504,0,0,0,0,0,0,0,0,0
820420505,0,0,0,0,0,0,0,0,0
820420506,1,0,0,0,0,0,0,1,0
820420507,1,0,0,0,0,0,0,1,0
820420508,9,0,0,0,0,0,3,12,0
820420509,4,0,0,0,0,0,1,5,0
820420601,13,0,0,0,0,0,0,13,0
820420602,3,1,0,0,0,0,0,4,0
820420603,5,0,0,0,0,0,0,5,0
820420604,0,0,0,0,0,0,0,0,0
820420605,0,0,0,0,0,0,0,0,0
820420606,1,0,0,0,0,0,0,1,0
